fiscal_year,detention_center_name,deaths_n
2023,Stewart Detention Center,1
2024,Calhoun County Correctional Center,1
2024,El Valle Detention Facility,1
2024,Folkston ICE Processing Center,1
2024,Joe Corley Processing Center,1
2024,Karnes County Immigration Processing Center,1
2024,Krome North Service Processing Center,1
2024,Moshannon Valley Processing Center,1
2024,Northwest ICE Processing Center,1
2024,Otero County Processing Center,1
2024,Port Isabel Service Processing Center,1
2024,Stewart Detention Center,1
2024,Winn Correctional Center,1
2025,Adelanto ICE Processing Center,1
2025,Broadview ICE Facility,1
2025,El Paso Service Processing Center,1
2025,Eloy Detention Center,1
2025,FDC Miami,1
2025,Florence Service Processing Center,1
2025,Florence Staging Facility,1
2025,Henderson County Jail,1
2025,Imperial Regional Detention Facility,1
2025,Karnes County Correctional Center,1
2025,Krome North Service Processing Center,4
2025,Moshannon Valley Processing Center,1
2025,Nassau County Correctional Center,1
2025,Northwest ICE Processing Center,1
2025,Phelps County Jail,1
2025,Stewart Detention Center,2
2026,Adams County Detention Center,1
2026,Adelanto ICE Processing Center,1
2026,Camp East Montana,3
2026,Delaney Hall Detention Facility,1
2026,FDC Philadelphia,1
2026,Imperial Regional Detention Facility,1
2026,Joe Corley Processing Center,1
2026,Krome North Service Processing Center,1
2026,Larkin Behavioral Health Center,1
2026,Miami Correctional Facility,1
2026,Montgomery Processing Center,1
2026,Moshannon Valley Processing Center,1
2026,North Lake Correctional Facility,1
2026,Prairieland Detention Facility,1
2026,Robert A. Deyton Detention Facility,1
2026,Sainte Genevieve County Jail,1
2026,South Texas ICE Processing Center,1
